id,subcategory,GT_Decision,Pred_Decision,protocol,Metric_Name1,GT_Metric1,Pred_Metric1,Metric_Name2,GT_Metric2,Pred_Metric2,Metric_Name3,GT_Metric3,Pred_Metric3,RecoveredDecision,Decision_Correct,Metric1_Correct,Metric2_Correct,Metric3_Correct,All_Metrics_Correct
HYP-001,persistent_regional_anomaly_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7789,0.0,min_fraction_cells_above_p75,0.4444,0.0,min_yearly_mean_completeness,1.0,0.0,REFUTED,False,False,False,False,False
HYP-002,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.6805,0.7789,min_fraction_cells_above_p75,0.8889,0.4444,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-003,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.9982,1.6805,min_fraction_cells_above_p75,0.6667,0.8889,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-004,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.1584,0.9982,min_fraction_cells_above_p75,0.7778,0.6667,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-005,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.8405,1.1584,min_fraction_cells_above_p75,0.6667,0.7778,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-006,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.0254,0.8405,min_fraction_cells_above_p75,0.5556,0.6667,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-007,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7502,1.0254,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,True,True,False
HYP-008,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.9184,0.7502,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,True,True,False
HYP-009,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.0246,0.9184,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,True,True,False
HYP-010,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.9352,1.0246,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,True,True,False
HYP-011,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.0972,0.9352,min_fraction_cells_above_p75,0.4444,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-012,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.8655,1.0972,min_fraction_cells_above_p75,0.4444,0.4444,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,True,True,False
HYP-013,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7658,0.8655,min_fraction_cells_above_p75,0.7778,0.4444,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True,False,False,True,False
HYP-014,persistent_regional_anomaly_verification,REFUTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1953,0.7658,min_fraction_cells_above_p75,0.0,0.7778,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,False,False,False,True,False
HYP-015,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3021,0.1953,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-016,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3525,0.3021,min_fraction_cells_above_p75,0.1111,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,False,True,False
HYP-017,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.2328,0.3525,min_fraction_cells_above_p75,0.0,0.1111,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,False,True,False
HYP-018,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3349,0.2328,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-019,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1776,0.3349,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-020,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1712,0.1776,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
