model,question_id,propagated,condition,endpoint
claude,HYP-175,0,0,away_vs_toward
deepseek,HYP-001,0,0,away_vs_toward
deepseek,HYP-002,0,0,away_vs_toward
deepseek,HYP-003,0,0,away_vs_toward
deepseek,HYP-185,1,0,away_vs_toward
deepseek,HYP-186,1,0,away_vs_toward
deepseek,HYP-187,0,0,away_vs_toward
deepseek,HYP-188,0,0,away_vs_toward
deepseek,HYP-189,1,0,away_vs_toward
deepseek,HYP-190,0,0,away_vs_toward
deepseek,HYP-193,0,0,away_vs_toward
deepseek,HYP-194,0,0,away_vs_toward
deepseek,HYP-197,0,0,away_vs_toward
deepseek,HYP-198,0,0,away_vs_toward
deepseek,HYP-199,0,0,away_vs_toward
gpt,HYP-001,1,0,away_vs_toward
gpt,HYP-002,0,0,away_vs_toward
gpt,HYP-003,0,0,away_vs_toward
gpt,HYP-004,0,0,away_vs_toward
gpt,HYP-005,0,0,away_vs_toward
gpt,HYP-006,0,0,away_vs_toward
gpt,HYP-007,0,0,away_vs_toward
gpt,HYP-008,0,0,away_vs_toward
gpt,HYP-009,0,0,away_vs_toward
gpt,HYP-010,0,0,away_vs_toward
gpt,HYP-011,0,0,away_vs_toward
gpt,HYP-012,0,0,away_vs_toward
gpt,HYP-013,0,0,away_vs_toward
gpt,HYP-014,1,0,away_vs_toward
gpt,HYP-015,0,0,away_vs_toward
gpt,HYP-016,0,0,away_vs_toward
gpt,HYP-017,0,0,away_vs_toward
gpt,HYP-018,0,0,away_vs_toward
gpt,HYP-019,0,0,away_vs_toward
gpt,HYP-020,0,0,away_vs_toward
gpt,HYP-021,0,0,away_vs_toward
gpt,HYP-022,0,0,away_vs_toward
gpt,HYP-023,0,0,away_vs_toward
gpt,HYP-024,0,0,away_vs_toward
gpt,HYP-025,0,0,away_vs_toward
gpt,HYP-026,0,0,away_vs_toward
gpt,HYP-027,0,0,away_vs_toward
gpt,HYP-028,0,0,away_vs_toward
gpt,HYP-029,0,0,away_vs_toward
gpt,HYP-030,0,0,away_vs_toward
gpt,HYP-031,0,0,away_vs_toward
gpt,HYP-032,0,0,away_vs_toward
gpt,HYP-033,0,0,away_vs_toward
gpt,HYP-034,0,0,away_vs_toward
gpt,HYP-035,0,0,away_vs_toward
gpt,HYP-036,0,0,away_vs_toward
gpt,HYP-037,0,0,away_vs_toward
gpt,HYP-038,0,0,away_vs_toward
gpt,HYP-039,0,0,away_vs_toward
gpt,HYP-040,0,0,away_vs_toward
gpt,HYP-041,0,0,away_vs_toward
gpt,HYP-042,1,0,away_vs_toward
gpt,HYP-043,1,0,away_vs_toward
gpt,HYP-044,0,0,away_vs_toward
gpt,HYP-045,1,0,away_vs_toward
gpt,HYP-046,1,0,away_vs_toward
gpt,HYP-047,0,0,away_vs_toward
gpt,HYP-048,1,0,away_vs_toward
gpt,HYP-049,1,0,away_vs_toward
gpt,HYP-050,0,0,away_vs_toward
gpt,HYP-051,1,0,away_vs_toward
gpt,HYP-052,0,0,away_vs_toward
gpt,HYP-053,1,0,away_vs_toward
gpt,HYP-054,0,0,away_vs_toward
gpt,HYP-055,1,0,away_vs_toward
gpt,HYP-056,0,0,away_vs_toward
gpt,HYP-057,1,0,away_vs_toward
gpt,HYP-058,0,0,away_vs_toward
gpt,HYP-059,1,0,away_vs_toward
gpt,HYP-060,0,0,away_vs_toward
gpt,HYP-061,0,0,away_vs_toward
gpt,HYP-062,1,0,away_vs_toward
gpt,HYP-063,1,0,away_vs_toward
gpt,HYP-064,1,0,away_vs_toward
gpt,HYP-065,0,0,away_vs_toward
gpt,HYP-066,0,0,away_vs_toward
gpt,HYP-067,0,0,away_vs_toward
gpt,HYP-068,0,0,away_vs_toward
gpt,HYP-069,0,0,away_vs_toward
gpt,HYP-070,0,0,away_vs_toward
gpt,HYP-071,0,0,away_vs_toward
gpt,HYP-072,0,0,away_vs_toward
gpt,HYP-073,0,0,away_vs_toward
gpt,HYP-074,0,0,away_vs_toward
gpt,HYP-075,0,0,away_vs_toward
gpt,HYP-076,0,0,away_vs_toward
gpt,HYP-077,0,0,away_vs_toward
gpt,HYP-078,0,0,away_vs_toward
gpt,HYP-079,0,0,away_vs_toward
gpt,HYP-080,0,0,away_vs_toward
gpt,HYP-081,1,0,away_vs_toward
gpt,HYP-082,1,0,away_vs_toward
gpt,HYP-083,1,0,away_vs_toward
gpt,HYP-084,1,0,away_vs_toward
gpt,HYP-085,1,0,away_vs_toward
gpt,HYP-086,1,0,away_vs_toward
gpt,HYP-087,1,0,away_vs_toward
gpt,HYP-088,1,0,away_vs_toward
gpt,HYP-089,1,0,away_vs_toward
gpt,HYP-090,1,0,away_vs_toward
gpt,HYP-091,1,0,away_vs_toward
gpt,HYP-092,1,0,away_vs_toward
gpt,HYP-093,1,0,away_vs_toward
gpt,HYP-094,1,0,away_vs_toward
gpt,HYP-095,1,0,away_vs_toward
gpt,HYP-096,0,0,away_vs_toward
gpt,HYP-097,1,0,away_vs_toward
gpt,HYP-098,0,0,away_vs_toward
gpt,HYP-099,1,0,away_vs_toward
gpt,HYP-100,1,0,away_vs_toward
gpt,HYP-101,1,0,away_vs_toward
gpt,HYP-102,0,0,away_vs_toward
gpt,HYP-103,0,0,away_vs_toward
gpt,HYP-104,0,0,away_vs_toward
gpt,HYP-105,1,0,away_vs_toward
gpt,HYP-106,1,0,away_vs_toward
gpt,HYP-107,0,0,away_vs_toward
gpt,HYP-108,0,0,away_vs_toward
gpt,HYP-109,0,0,away_vs_toward
gpt,HYP-110,0,0,away_vs_toward
gpt,HYP-111,0,0,away_vs_toward
gpt,HYP-112,0,0,away_vs_toward
gpt,HYP-113,0,0,away_vs_toward
gpt,HYP-114,0,0,away_vs_toward
gpt,HYP-115,0,0,away_vs_toward
gpt,HYP-116,0,0,away_vs_toward
gpt,HYP-117,0,0,away_vs_toward
gpt,HYP-118,0,0,away_vs_toward
gpt,HYP-119,0,0,away_vs_toward
gpt,HYP-120,0,0,away_vs_toward
gpt,HYP-121,1,0,away_vs_toward
gpt,HYP-122,1,0,away_vs_toward
gpt,HYP-123,1,0,away_vs_toward
gpt,HYP-124,1,0,away_vs_toward
gpt,HYP-125,0,0,away_vs_toward
gpt,HYP-126,0,0,away_vs_toward
gpt,HYP-127,1,0,away_vs_toward
gpt,HYP-128,1,0,away_vs_toward
gpt,HYP-129,1,0,away_vs_toward
gpt,HYP-130,1,0,away_vs_toward
gpt,HYP-131,1,0,away_vs_toward
gpt,HYP-132,1,0,away_vs_toward
gpt,HYP-133,1,0,away_vs_toward
gpt,HYP-134,1,0,away_vs_toward
gpt,HYP-135,1,0,away_vs_toward
gpt,HYP-136,1,0,away_vs_toward
gpt,HYP-137,0,0,away_vs_toward
gpt,HYP-138,0,0,away_vs_toward
gpt,HYP-139,1,0,away_vs_toward
gpt,HYP-140,0,0,away_vs_toward
gpt,HYP-141,0,0,away_vs_toward
gpt,HYP-142,0,0,away_vs_toward
gpt,HYP-143,1,0,away_vs_toward
gpt,HYP-144,0,0,away_vs_toward
gpt,HYP-145,1,0,away_vs_toward
gpt,HYP-146,0,0,away_vs_toward
gpt,HYP-147,0,0,away_vs_toward
gpt,HYP-148,0,0,away_vs_toward
gpt,HYP-149,0,0,away_vs_toward
gpt,HYP-150,0,0,away_vs_toward
gpt,HYP-151,0,0,away_vs_toward
gpt,HYP-152,0,0,away_vs_toward
gpt,HYP-153,0,0,away_vs_toward
gpt,HYP-154,0,0,away_vs_toward
gpt,HYP-155,0,0,away_vs_toward
gpt,HYP-156,0,0,away_vs_toward
gpt,HYP-157,0,0,away_vs_toward
gpt,HYP-158,0,0,away_vs_toward
gpt,HYP-159,0,0,away_vs_toward
gpt,HYP-160,0,0,away_vs_toward
gpt,HYP-161,0,0,away_vs_toward
gpt,HYP-162,0,0,away_vs_toward
gpt,HYP-163,1,0,away_vs_toward
gpt,HYP-164,1,0,away_vs_toward
gpt,HYP-165,1,0,away_vs_toward
gpt,HYP-166,0,0,away_vs_toward
gpt,HYP-167,1,0,away_vs_toward
gpt,HYP-168,0,0,away_vs_toward
gpt,HYP-169,1,0,away_vs_toward
gpt,HYP-170,0,0,away_vs_toward
gpt,HYP-171,0,0,away_vs_toward
gpt,HYP-172,1,0,away_vs_toward
gpt,HYP-173,0,0,away_vs_toward
gpt,HYP-175,1,0,away_vs_toward
gpt,HYP-179,1,0,away_vs_toward
gpt,HYP-186,0,0,away_vs_toward
gpt,HYP-187,0,0,away_vs_toward
gpt,HYP-188,1,0,away_vs_toward
gpt,HYP-189,0,0,away_vs_toward
gpt,HYP-190,0,0,away_vs_toward
gpt,HYP-191,1,0,away_vs_toward
gpt,HYP-192,1,0,away_vs_toward
gpt,HYP-193,1,0,away_vs_toward
gpt,HYP-194,1,0,away_vs_toward
gpt,HYP-195,1,0,away_vs_toward
gpt,HYP-196,1,0,away_vs_toward
gpt,HYP-197,1,0,away_vs_toward
gpt,HYP-198,0,0,away_vs_toward
gpt,HYP-199,0,0,away_vs_toward
gpt,HYP-200,1,0,away_vs_toward
gpt,HYP-201,1,0,away_vs_toward
gpt,HYP-202,1,0,away_vs_toward
gpt,HYP-203,1,0,away_vs_toward
gpt,HYP-204,1,0,away_vs_toward
gpt,HYP-205,1,0,away_vs_toward
gpt,HYP-206,1,0,away_vs_toward
gpt,HYP-207,1,0,away_vs_toward
gpt,HYP-208,1,0,away_vs_toward
gpt,HYP-209,1,0,away_vs_toward
gpt,HYP-210,1,0,away_vs_toward
gpt,HYP-211,1,0,away_vs_toward
gpt,HYP-212,1,0,away_vs_toward
gpt,HYP-213,1,0,away_vs_toward
gpt,HYP-214,0,0,away_vs_toward
gpt,HYP-215,0,0,away_vs_toward
gpt,HYP-216,0,0,away_vs_toward
gpt,HYP-217,0,0,away_vs_toward
gpt,HYP-218,0,0,away_vs_toward
gpt,HYP-219,0,0,away_vs_toward
gpt,HYP-220,0,0,away_vs_toward
gpt,HYP-221,0,0,away_vs_toward
gpt,HYP-222,0,0,away_vs_toward
gpt,HYP-223,0,0,away_vs_toward
gpt,HYP-224,0,0,away_vs_toward
gpt,HYP-225,0,0,away_vs_toward
gpt,HYP-226,0,0,away_vs_toward
gpt,HYP-227,1,0,away_vs_toward
gpt,HYP-228,1,0,away_vs_toward
gpt,HYP-229,1,0,away_vs_toward
gpt,HYP-230,1,0,away_vs_toward
gpt,HYP-231,1,0,away_vs_toward
gpt,HYP-232,1,0,away_vs_toward
gpt,HYP-233,1,0,away_vs_toward
gpt,HYP-234,1,0,away_vs_toward
gpt,HYP-235,1,0,away_vs_toward
gpt,HYP-236,1,0,away_vs_toward
gpt,HYP-237,1,0,away_vs_toward
gpt,HYP-238,1,0,away_vs_toward
gpt,HYP-239,1,0,away_vs_toward
gpt,HYP-240,1,0,away_vs_toward
claude,HYP-175,0,1,away_vs_toward
deepseek,HYP-001,0,1,away_vs_toward
deepseek,HYP-002,0,1,away_vs_toward
deepseek,HYP-003,0,1,away_vs_toward
deepseek,HYP-185,0,1,away_vs_toward
deepseek,HYP-186,0,1,away_vs_toward
deepseek,HYP-187,1,1,away_vs_toward
deepseek,HYP-188,0,1,away_vs_toward
deepseek,HYP-189,1,1,away_vs_toward
deepseek,HYP-190,1,1,away_vs_toward
deepseek,HYP-193,1,1,away_vs_toward
deepseek,HYP-194,1,1,away_vs_toward
deepseek,HYP-197,0,1,away_vs_toward
deepseek,HYP-198,1,1,away_vs_toward
deepseek,HYP-199,1,1,away_vs_toward
gpt,HYP-001,1,1,away_vs_toward
gpt,HYP-002,1,1,away_vs_toward
gpt,HYP-003,0,1,away_vs_toward
gpt,HYP-004,1,1,away_vs_toward
gpt,HYP-005,0,1,away_vs_toward
gpt,HYP-006,1,1,away_vs_toward
gpt,HYP-007,0,1,away_vs_toward
gpt,HYP-008,1,1,away_vs_toward
gpt,HYP-009,1,1,away_vs_toward
gpt,HYP-010,0,1,away_vs_toward
gpt,HYP-011,1,1,away_vs_toward
gpt,HYP-012,0,1,away_vs_toward
gpt,HYP-013,1,1,away_vs_toward
gpt,HYP-014,1,1,away_vs_toward
gpt,HYP-015,0,1,away_vs_toward
gpt,HYP-016,0,1,away_vs_toward
gpt,HYP-017,1,1,away_vs_toward
gpt,HYP-018,0,1,away_vs_toward
gpt,HYP-019,0,1,away_vs_toward
gpt,HYP-020,0,1,away_vs_toward
gpt,HYP-021,0,1,away_vs_toward
gpt,HYP-022,0,1,away_vs_toward
gpt,HYP-023,0,1,away_vs_toward
gpt,HYP-024,0,1,away_vs_toward
gpt,HYP-025,0,1,away_vs_toward
