model,question_id,category,alpha,status,reason,original_gt_decision,perturbed_gt_decision,perturbed_pred_decision,baseline_recovered_decision,baseline_status,perturbed_status,metric_error_present
claude,HYP-001,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-001,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-002,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-003,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-004,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-005,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-006,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.9,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.95,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-007,persistent_regional_anomaly_verification,0.99,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-008,persistent_regional_anomaly_verification,0.0,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-008,persistent_regional_anomaly_verification,0.1,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-008,persistent_regional_anomaly_verification,0.25,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-008,persistent_regional_anomaly_verification,0.5,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
claude,HYP-008,persistent_regional_anomaly_verification,0.75,evaluated,,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,no_error,no_error,False
