id,subcategory,GT_Decision,Pred_Decision,protocol,Metric_Name1,GT_Metric1,Pred_Metric1,Metric_Name2,GT_Metric2,Pred_Metric2,Metric_Name3,GT_Metric3,Pred_Metric3,RecoveredDecision,Decision_Correct
HYP-001,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7789,0.7789,min_fraction_cells_above_p75,0.4444,0.4444,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-002,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.6805,1.6805,min_fraction_cells_above_p75,0.8889,0.8889,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-003,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.9982,0.9982,min_fraction_cells_above_p75,0.6667,0.6667,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-004,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.1584,1.1584,min_fraction_cells_above_p75,0.7778,0.7778,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-005,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.8405,0.8405,min_fraction_cells_above_p75,0.6667,0.6667,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-006,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.0254,1.0254,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-007,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7502,0.7502,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-008,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.9184,0.9184,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-009,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.0246,1.0246,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-010,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.9352,0.9352,min_fraction_cells_above_p75,0.5556,0.5556,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
