id,answer,subcategory,difficulty,ChatGPT_V1,ChatGPT_V2,Claude_V1,Claude_V2,DeepSeek_V1,DeepSeek_V2,Gemini_V1,Gemini_V2,ChatGPT_V1_correct,ChatGPT_V2_correct,Claude_V1_correct,Claude_V2_correct,DeepSeek_V1_correct,DeepSeek_V2_correct,Gemini_V1_correct,Gemini_V2_correct,operation,Decision
HYP-001,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,A,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-002,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-003,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-004,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,A,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-005,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,B,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-006,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,C,C,True,True,True,True,True,True,True,True,Minimum Selection,SUPPORTED
HYP-007,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,A,A,True,True,True,True,True,True,True,True,Minimum Selection,REFUTED
HYP-008,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,B,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-009,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-010,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,A,A,True,True,True,True,True,True,True,True,Minimum Selection,REFUTED
HYP-011,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-012,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,C,C,True,True,True,True,True,True,True,True,Minimum Selection,SUPPORTED
HYP-013,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,A,A,True,True,True,True,True,True,True,True,Minimum Selection,REFUTED
HYP-014,C,persistent_regional_anomaly_verification,medium,C,C,C,C,C,C,B,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-015,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-016,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,A,A,True,True,True,True,True,True,True,True,Minimum Selection,REFUTED
HYP-017,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,B,B,True,True,True,True,True,True,True,True,Minimum Selection,INSUFFICIENT
HYP-018,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-019,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,A,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-020,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-021,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-022,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,A,A,True,True,True,True,True,True,True,True,Minimum Selection,REFUTED
HYP-023,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-024,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-025,B,persistent_regional_anomaly_verification,medium,B,B,B,B,B,B,A,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-026,A,persistent_regional_anomaly_verification,medium,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-027,A,persistent_regional_anomaly_verification,hard,A,A,A,A,A,A,C,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-028,B,persistent_regional_anomaly_verification,hard,B,B,B,B,B,B,A,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-029,A,persistent_regional_anomaly_verification,hard,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-030,B,persistent_regional_anomaly_verification,hard,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-031,A,persistent_regional_anomaly_verification,hard,A,A,A,A,A,A,A,A,True,True,True,True,True,True,True,True,Minimum Selection,REFUTED
HYP-032,C,persistent_regional_anomaly_verification,hard,C,C,C,C,C,C,B,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-033,A,persistent_regional_anomaly_verification,hard,C,A,A,A,A,A,C,A,False,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-034,C,persistent_regional_anomaly_verification,hard,C,C,C,C,C,C,A,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-035,A,persistent_regional_anomaly_verification,hard,B,A,A,A,A,A,B,A,False,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-036,B,persistent_regional_anomaly_verification,hard,B,B,B,B,B,B,C,B,True,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-037,C,persistent_regional_anomaly_verification,hard,B,C,C,C,C,C,A,C,False,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-038,A,persistent_regional_anomaly_verification,hard,A,A,A,A,A,A,B,A,True,True,True,True,True,True,False,True,Minimum Selection,REFUTED
HYP-039,B,persistent_regional_anomaly_verification,hard,C,B,B,B,B,B,C,B,False,True,True,True,True,True,False,True,Minimum Selection,INSUFFICIENT
HYP-040,C,persistent_regional_anomaly_verification,hard,C,C,C,C,C,C,A,C,True,True,True,True,True,True,False,True,Minimum Selection,SUPPORTED
HYP-041,C,localized_intensification_verification,hard,C,C,C,C,C,C,B,B,True,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-042,C,localized_intensification_verification,hard,C,C,C,C,C,C,C,C,True,True,True,True,True,True,True,True,Subtraction,SUPPORTED
HYP-043,C,localized_intensification_verification,hard,C,C,C,C,C,C,A,A,True,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-044,C,localized_intensification_verification,hard,C,C,C,C,C,C,B,B,True,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-045,A,localized_intensification_verification,hard,C,A,A,A,A,A,C,B,False,True,True,True,True,True,False,False,Subtraction,REFUTED
HYP-046,C,localized_intensification_verification,hard,B,C,C,C,C,C,A,C,False,True,True,True,True,True,False,True,Subtraction,SUPPORTED
HYP-047,A,localized_intensification_verification,hard,C,A,A,A,A,A,B,B,False,True,True,True,True,True,False,False,Subtraction,REFUTED
HYP-048,A,localized_intensification_verification,hard,A,A,A,A,A,A,C,A,True,True,True,True,True,True,False,True,Subtraction,REFUTED
HYP-049,B,localized_intensification_verification,hard,B,B,B,B,B,B,A,B,True,True,True,True,True,True,False,True,Subtraction,INSUFFICIENT
HYP-050,A,localized_intensification_verification,hard,C,A,A,A,A,A,B,B,False,True,True,True,True,True,False,False,Subtraction,REFUTED
HYP-051,B,localized_intensification_verification,hard,B,B,B,B,B,B,C,C,True,True,True,True,True,True,False,False,Subtraction,INSUFFICIENT
HYP-052,C,localized_intensification_verification,hard,A,C,C,C,C,C,A,B,False,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-053,C,localized_intensification_verification,hard,C,C,C,C,C,C,B,A,True,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-054,A,localized_intensification_verification,hard,B,A,A,A,A,A,C,B,False,True,True,True,True,True,False,False,Subtraction,REFUTED
HYP-055,C,localized_intensification_verification,hard,C,C,C,C,C,C,A,C,True,True,True,True,True,True,False,True,Subtraction,SUPPORTED
HYP-056,C,localized_intensification_verification,hard,B,C,C,C,C,C,B,B,False,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-057,A,localized_intensification_verification,hard,A,A,A,A,A,A,C,B,True,True,True,True,True,True,False,False,Subtraction,REFUTED
HYP-058,C,localized_intensification_verification,hard,C,C,C,C,C,C,A,A,True,True,True,True,True,True,False,False,Subtraction,SUPPORTED
HYP-059,C,localized_intensification_verification,hard,B,C,C,C,C,C,B,C,False,True,True,True,True,True,False,True,Subtraction,SUPPORTED
HYP-060,B,localized_intensification_verification,hard,C,B,B,B,B,B,C,B,False,True,True,True,True,True,False,True,Subtraction,INSUFFICIENT
HYP-061,B,localized_intensification_verification,hard,B,B,B,B,B,B,A,A,True,True,True,True,True,True,False,False,Subtraction,INSUFFICIENT
HYP-062,B,localized_intensification_verification,hard,B,B,B,B,B,C,B,B,True,True,True,True,True,False,True,True,Subtraction,INSUFFICIENT
HYP-063,B,localized_intensification_verification,hard,B,B,B,B,B,B,C,C,True,True,True,True,True,True,False,False,Subtraction,INSUFFICIENT
