model,question_id,status_base,propagated,condition,endpoint
claude,HYP-175,absorbed,0,0,baseline_vs_toward
deepseek,HYP-001,absorbed,0,0,baseline_vs_toward
deepseek,HYP-002,absorbed,0,0,baseline_vs_toward
deepseek,HYP-003,absorbed,0,0,baseline_vs_toward
deepseek,HYP-185,absorbed,0,0,baseline_vs_toward
deepseek,HYP-186,propagated,1,0,baseline_vs_toward
deepseek,HYP-187,absorbed,0,0,baseline_vs_toward
deepseek,HYP-188,absorbed,0,0,baseline_vs_toward
deepseek,HYP-189,absorbed,0,0,baseline_vs_toward
deepseek,HYP-190,absorbed,0,0,baseline_vs_toward
deepseek,HYP-193,absorbed,0,0,baseline_vs_toward
deepseek,HYP-194,absorbed,0,0,baseline_vs_toward
deepseek,HYP-197,absorbed,0,0,baseline_vs_toward
deepseek,HYP-198,absorbed,0,0,baseline_vs_toward
deepseek,HYP-199,absorbed,0,0,baseline_vs_toward
gpt,HYP-001,propagated,1,0,baseline_vs_toward
gpt,HYP-002,absorbed,0,0,baseline_vs_toward
gpt,HYP-003,absorbed,0,0,baseline_vs_toward
gpt,HYP-004,absorbed,0,0,baseline_vs_toward
gpt,HYP-005,absorbed,0,0,baseline_vs_toward
gpt,HYP-006,absorbed,0,0,baseline_vs_toward
gpt,HYP-007,absorbed,0,0,baseline_vs_toward
gpt,HYP-008,absorbed,0,0,baseline_vs_toward
gpt,HYP-009,absorbed,0,0,baseline_vs_toward
gpt,HYP-010,absorbed,0,0,baseline_vs_toward
gpt,HYP-011,absorbed,0,0,baseline_vs_toward
gpt,HYP-012,absorbed,0,0,baseline_vs_toward
gpt,HYP-013,absorbed,0,0,baseline_vs_toward
gpt,HYP-014,propagated,1,0,baseline_vs_toward
gpt,HYP-015,absorbed,0,0,baseline_vs_toward
gpt,HYP-016,absorbed,0,0,baseline_vs_toward
gpt,HYP-017,absorbed,0,0,baseline_vs_toward
gpt,HYP-018,absorbed,0,0,baseline_vs_toward
gpt,HYP-019,absorbed,0,0,baseline_vs_toward
gpt,HYP-020,absorbed,0,0,baseline_vs_toward
gpt,HYP-021,absorbed,0,0,baseline_vs_toward
gpt,HYP-022,absorbed,0,0,baseline_vs_toward
gpt,HYP-023,absorbed,0,0,baseline_vs_toward
gpt,HYP-024,absorbed,0,0,baseline_vs_toward
gpt,HYP-025,absorbed,0,0,baseline_vs_toward
gpt,HYP-026,absorbed,0,0,baseline_vs_toward
gpt,HYP-027,propagated,1,0,baseline_vs_toward
gpt,HYP-028,absorbed,0,0,baseline_vs_toward
gpt,HYP-029,absorbed,0,0,baseline_vs_toward
gpt,HYP-030,absorbed,0,0,baseline_vs_toward
gpt,HYP-031,absorbed,0,0,baseline_vs_toward
gpt,HYP-032,propagated,1,0,baseline_vs_toward
gpt,HYP-033,absorbed,0,0,baseline_vs_toward
gpt,HYP-034,absorbed,0,0,baseline_vs_toward
gpt,HYP-035,absorbed,0,0,baseline_vs_toward
gpt,HYP-036,absorbed,0,0,baseline_vs_toward
gpt,HYP-037,absorbed,0,0,baseline_vs_toward
gpt,HYP-038,absorbed,0,0,baseline_vs_toward
gpt,HYP-039,absorbed,0,0,baseline_vs_toward
gpt,HYP-040,absorbed,0,0,baseline_vs_toward
gpt,HYP-041,propagated,1,0,baseline_vs_toward
gpt,HYP-042,propagated,1,0,baseline_vs_toward
gpt,HYP-043,propagated,1,0,baseline_vs_toward
gpt,HYP-044,propagated,1,0,baseline_vs_toward
gpt,HYP-045,propagated,1,0,baseline_vs_toward
gpt,HYP-046,propagated,1,0,baseline_vs_toward
gpt,HYP-047,propagated,1,0,baseline_vs_toward
gpt,HYP-048,propagated,1,0,baseline_vs_toward
gpt,HYP-049,propagated,1,0,baseline_vs_toward
gpt,HYP-050,propagated,1,0,baseline_vs_toward
gpt,HYP-051,propagated,1,0,baseline_vs_toward
gpt,HYP-052,propagated,1,0,baseline_vs_toward
gpt,HYP-053,propagated,1,0,baseline_vs_toward
gpt,HYP-054,propagated,1,0,baseline_vs_toward
gpt,HYP-055,propagated,1,0,baseline_vs_toward
gpt,HYP-056,propagated,1,0,baseline_vs_toward
gpt,HYP-057,propagated,1,0,baseline_vs_toward
gpt,HYP-058,propagated,1,0,baseline_vs_toward
gpt,HYP-059,propagated,1,0,baseline_vs_toward
gpt,HYP-060,propagated,1,0,baseline_vs_toward
gpt,HYP-061,propagated,1,0,baseline_vs_toward
gpt,HYP-062,propagated,1,0,baseline_vs_toward
gpt,HYP-063,propagated,1,0,baseline_vs_toward
gpt,HYP-064,propagated,1,0,baseline_vs_toward
gpt,HYP-065,propagated,1,0,baseline_vs_toward
gpt,HYP-066,propagated,1,0,baseline_vs_toward
gpt,HYP-067,absorbed,0,0,baseline_vs_toward
gpt,HYP-068,absorbed,0,0,baseline_vs_toward
gpt,HYP-069,absorbed,0,0,baseline_vs_toward
gpt,HYP-070,absorbed,0,0,baseline_vs_toward
gpt,HYP-071,absorbed,0,0,baseline_vs_toward
gpt,HYP-072,absorbed,0,0,baseline_vs_toward
gpt,HYP-073,absorbed,0,0,baseline_vs_toward
